videoname,B_0,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,SC_0,SC_1,SC_2,SC_3,SC_4,SC_5,SC_6,SC_7,SC_8,SC_9,TC_0,TC_1,TC_2,TC_3,TC_4,TC_5,TC_6,TC_7,TC_8,TC_9,TC2_0,TC2_1,TC2_2,TC2_3,TC2_4,TC2_5,TC2_6,TC2_7,TC2_8,TC2_9
[RA][test0307_config][QP14]_VCA_540,2.0407743,2.1669934,2.0389616,2.1684797,2.0355105,2.1722383,2.0381694,2.1710722,2.0348144,2.1742737,111.4816,118.388725,111.644356,118.50594,111.58138,118.238716,111.51364,118.46242,111.6002,117.84584,0.0,23.945621,23.775515,23.950161,23.768608,24.353346,24.453846,25.246988,25.312723,26.355322,0.0,0.0,1.8350859,2.0741014,1.9036344,2.130672,1.872962,2.3595312,1.7759387,2.3051205
[RA][test0307_config][QP14]_SITI_540,132.36829,166.23767,132.73508,166.63176,132.70451,166.11523,132.52379,166.58488,132.83977,165.85072,0.0,76.5215,76.276634,76.283455,76.35605,76.47613,76.4481,76.468544,76.5239,76.45924,0.0,0.0,40.155834,41.937428,39.42866,43.51233,37.527397,42.831055,35.308834,42.321903
[RA][test0366_config][QP36]_EVCA_540,2.0451665,2.163207,2.0450742,2.1651082,2.0436292,2.1645472,2.0454144,2.163825,2.0444312,2.1654446,145.70761,99.04682,145.69386,99.283714,145.70137,99.10387,145.86485,99.364426,145.85452,98.952614,0.0,116.861694,116.881905,116.98336,117.009346,116.91758,117.17479,117.200935,117.13284,117.11004,0.0,0.0,60.805256,28.51697,58.257065,27.046227,59.39728,28.528255,64.15603,30.74157
[RA][test0366_config][QP36]_VCA_540,2.0451665,2.163207,2.0450742,2.1651082,2.0436292,2.1645472,2.0454144,2.163825,2.0444312,2.1654446,145.70761,99.04682,145.69386,99.283714,145.70137,99.10387,145.86485,99.364426,145.85452,98.952614,0.0,47.69651,47.685,47.451405,47.451927,47.66593,47.871193,47.629166,47.593548,47.98486,0.0,0.0,0.6768901,0.77806044,0.6354071,0.58965707,0.7208402,0.6666235,0.65663725,0.8469338
[RA][test0366_config][QP36]_SITI_540,146.46544,132.3591,146.7192,132.58485,146.7261,132.4321,146.73871,132.86632,146.61751,132.31767,0.0,83.6538,83.688286,83.73615,83.68865,83.64626,83.63084,83.63575,83.6832,83.70547,0.0,0.0,28.329262,16.50342,26.795338,15.375734,27.469282,15.959815,30.259937,17.180452
[RA][test0314_config][QP34]_EVCA_540,2.154332,2.2833705,2.1522667,2.2800791,2.149729,2.2776535,2.1575801,2.2777624,2.1520503,2.2794738,119.46877,106.542305,120.01832,106.54853,119.57678,106.403,119.6971,106.90321,119.64121,106.63149,0.0,104.10244,104.08006,103.95524,103.858574,103.54339,103.63634,103.99659,104.02443,103.76621,0.0,0.0,78.94278,61.18261,77.87667,59.50284,77.467415,59.82449,77.180435,59.080296
[RA][test0314_config][QP34]_VCA_540,2.154332,2.2833705,2.1522667,2.2800791,2.149729,2.2776535,2.1575801,2.2777624,2.1520503,2.2794738,119.46877,106.542305,120.01832,106.54853,119.57678,106.403,119.6971,106.90321,119.64121,106.63149,0.0,27.748571,27.856781,28.102114,27.93667,27.703337,27.59919,27.71073,27.485804,27.503506,0.0,0.0,2.499828,2.555141,2.3881693,1.8605099,2.142059,2.2617974,2.3784864,2.0964375
[RA][test0314_config][QP34]_SITI_540,140.47168,148.33408,141.60869,148.63115,140.79977,147.82469,140.9762,149.06314,140.67685,147.6461,0.0,83.509766,83.88594,83.82378,83.97953,84.01773,84.17586,84.15802,84.38625,84.36038,0.0,0.0,56.293858,43.08906,55.377033,41.709885,55.15326,41.96409,54.97856,41.46424
[RA][test0256_config][QP24]_EVCA_540,1.9188882,1.9498478,1.9152766,1.9492381,1.9149073,1.9485672,1.9116007,1.9461825,1.9143373,1.94779,54.098186,88.46027,54.116272,87.82992,54.286327,86.98699,54.194214,88.3434,54.28302,87.238914,0.0,88.74621,88.66314,88.18075,88.202705,87.50151,87.39634,88.54497,88.62819,87.670746,0.0,0.0,22.14098,39.494907,21.63301,37.446575,21.860878,37.438095,22.157682,38.53136
[RA][test0256_config][QP24]_VCA_540,1.9188882,1.9498478,1.9152766,1.9492381,1.9149073,1.9485672,1.9116007,1.9461825,1.9143373,1.94779,54.098186,88.46027,54.116272,87.82992,54.286327,86.98699,54.194214,88.3434,54.28302,87.238914,0.0,64.79543,64.76523,64.22561,64.14359,63.495197,63.355213,64.45709,64.52423,63.455395,0.0,0.0,0.6262694,1.4950747,0.61327356,1.5172591,0.737107,1.9032192,0.7417082,1.8301337
