videoname,B_0,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,SC_0,SC_1,SC_2,SC_3,SC_4,SC_5,SC_6,SC_7,SC_8,SC_9,TC_0,TC_1,TC_2,TC_3,TC_4,TC_5,TC_6,TC_7,TC_8,TC_9,TC2_0,TC2_1,TC2_2,TC2_3,TC2_4,TC2_5,TC2_6,TC2_7,TC2_8,TC2_9
[RA][test0307_config][QP14]_EVCA_1080,0.51391697,0.5330338,0.5141996,0.5337926,0.5133596,0.53430086,0.51318914,0.53466666,0.5127562,0.535126,101.947334,101.86259,101.91872,101.05949,102.26741,101.303154,102.360634,101.291664,102.29576,101.17566,0.0,94.38883,94.382744,94.36663,94.44066,94.6263,94.64332,94.607056,94.61058,94.86226,0.0,0.0,62.964092,59.32529,61.814484,59.526424,60.852463,58.402573,59.21824,58.184856
[RA][test0307_config][QP14]_VCA_1080,0.51391697,0.5330338,0.5141996,0.5337926,0.5133596,0.53430086,0.51318914,0.53466666,0.5127562,0.535126,101.947334,101.86259,101.91872,101.05949,102.26741,101.303154,102.360634,101.291664,102.29576,101.17566,0.0,28.441072,28.310902,28.902588,29.047386,29.12687,29.119648,29.330763,29.469635,29.888624,0.0,0.0,2.139741,3.285481,1.9956005,3.3149962,2.0551734,3.2656603,1.8974783,3.299786
[RA][test0307_config][QP14]_SITI_1080,125.813835,146.27919,125.636284,145.73839,125.99004,145.78201,125.955925,145.8367,126.08592,145.80255,0.0,75.91783,75.8911,75.93279,75.9499,76.00633,75.977516,76.004684,76.002,75.97502,0.0,0.0,41.93665,43.411873,40.885075,44.707596,39.31304,43.673794,37.583668,43.45033
[RA][test0314_config][QP34]_EVCA_1080,0.5442875,0.5701103,0.54330665,0.56942374,0.54378545,0.5696367,0.5439845,0.56935906,0.54391956,0.5689066,105.67439,91.84602,105.39854,91.25369,105.59946,91.12139,105.3944,91.89099,105.36958,91.4919,0.0,95.600334,95.60127,95.55753,95.62611,95.55108,95.50262,95.89559,95.93659,95.898766,0.0,0.0,69.20574,55.380054,68.871254,53.928894,68.60078,53.93102,68.149376,54.123642
[RA][test0314_config][QP34]_VCA_1080,0.5442875,0.5701103,0.54330665,0.56942374,0.54378545,0.5696367,0.5439845,0.56935906,0.54391956,0.5689066,105.67439,91.84602,105.39854,91.25369,105.59946,91.12139,105.3944,91.89099,105.36958,91.4919,0.0,31.67321,31.72421,32.132793,31.969915,32.228893,32.498352,32.785072,33.041676,33.18927,0.0,0.0,3.6575596,3.2517076,3.103756,2.7816648,3.3661032,2.859011,3.2260258,2.7598639
[RA][test0314_config][QP34]_SITI_1080,127.56399,130.53662,127.277695,130.23825,127.58688,129.62053,127.23773,131.29779,127.22052,130.5896,0.0,83.88877,84.13312,84.120224,84.26657,84.316574,84.35203,84.351234,84.385155,84.475105,0.0,0.0,55.78427,45.256725,55.47576,44.04955,54.8484,44.00591,54.740665,44.088303
[RA][test0256_config][QP24]_EVCA_1080,0.4796023,0.48656526,0.479088,0.48651296,0.47901008,0.48669413,0.47871175,0.48585445,0.47905546,0.48576668,46.8098,75.128334,46.909573,74.0281,46.955685,73.78132,46.99995,74.775986,47.052296,74.09189,0.0,80.769,80.798065,79.698685,79.606575,79.41756,79.41989,80.366135,80.37202,79.69201,0.0,0.0,18.11378,37.547394,17.34695,35.80268,17.730944,36.18649,17.84238,36.10792
[RA][test0256_config][QP24]_VCA_1080,0.4796023,0.48656526,0.479088,0.48651296,0.47901008,0.48669413,0.47871175,0.48585445,0.47905546,0.48576668,46.8098,75.128334,46.909573,74.0281,46.955685,73.78132,46.99995,74.775986,47.052296,74.09189,0.0,64.37963,64.3375,63.21641,63.02465,62.812077,62.78246,63.747704,63.741898,63.083332,0.0,0.0,0.7549411,2.2796588,0.6848076,1.7324098,0.72764665,2.0348315,0.7093198,1.8010906
[RA][test0256_config][QP24]_SITI_1080,74.03798,108.99947,73.91519,107.443794,73.801895,106.95692,73.995995,108.56343,74.22912,107.354904,0.0,78.77141,78.88074,78.93999,78.96019,78.960205,78.99533,78.956375,78.94881,78.96645,0.0,0.0,18.750292,31.145458,18.091457,29.559822,18.24857,29.88379,18.512205,29.707693
[RA][test0272_config][QP28]_EVCA_1080,0.51233876,0.5963801,0.5132435,0.6018419,0.5142015,0.6013287,0.5124436,0.60166675,0.5101591,0.59772575,99.95842,54.938175,98.36452,52.615795,99.28276,51.96328,100.457016,52.575764,101.4019,52.366085,0.0,87.198845,85.9301,85.86694,86.969154,87.10441,88.3521,87.92753,88.96219,89.05884,0.0,0.0,70.147285,33.112907,69.10304,30.142164,69.93741,32.27767,69.86752,31.213694
