videoname,B_0,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,SC_0,SC_1,SC_2,SC_3,SC_4,SC_5,SC_6,SC_7,SC_8,SC_9,TC_0,TC_1,TC_2,TC_3,TC_4,TC_5,TC_6,TC_7,TC_8,TC_9,TC2_0,TC2_1,TC2_2,TC2_3,TC2_4,TC2_5,TC2_6,TC2_7,TC2_8,TC2_9
[RA][test0314_config][QP34]_SITI_360,146.84674,153.46535,146.62088,154.76321,146.30415,154.0972,147.4957,154.3188,148.3969,153.7306,0.0,83.25508,83.02451,83.0221,83.041405,83.27342,83.263535,83.32885,83.462,83.51782,0.0,0.0,55.56447,41.691746,54.35109,39.290173,54.485844,40.29537,54.749287,39.276577
[RA][test0256_config][QP24]_EVCA_360,4.3060656,4.532864,4.2971883,4.5240574,4.295064,4.516007,4.2896395,4.506699,4.2940807,4.5167933,54.80307,92.29992,55.12662,91.717674,55.06365,91.43195,55.141895,92.85526,55.073296,91.55702,0.0,89.6008,89.571495,89.05482,89.09696,88.6677,88.80643,90.01851,89.92165,88.89925,0.0,0.0,20.765219,35.132614,20.53451,33.880722,20.316996,34.028957,20.2146,35.326824
[RA][test0256_config][QP24]_VCA_360,4.3060656,4.532864,4.2971883,4.5240574,4.295064,4.516007,4.2896395,4.506699,4.2940807,4.5167933,54.80307,92.29992,55.12662,91.717674,55.06365,91.43195,55.141895,92.85526,55.073296,91.55702,0.0,67.44449,67.37384,66.64932,66.70428,66.404465,66.499466,67.673805,67.56877,66.67355,0.0,0.0,0.6226808,1.0903118,0.4798781,1.0292015,0.671536,1.4136817,0.5996857,1.5443964
[RA][test0256_config][QP24]_SITI_360,91.506744,127.3115,91.42734,126.832214,91.560074,125.95043,91.61742,127.99508,91.718216,126.50249,0.0,77.16679,77.30424,77.28406,77.29477,77.25493,77.30593,77.30707,77.38367,77.41715,0.0,0.0,17.689278,24.043285,17.120226,22.886015,16.93506,23.244152,16.978468,23.83056
[RA][test0483_config][QP16]_EVCA_360,4.4668617,5.5872755,4.464996,5.5827284,4.4628577,5.5784044,4.4635115,5.570794,4.45586,5.554048,136.13104,94.62209,136.19354,94.31233,135.79277,94.43167,136.04282,94.42778,135.90816,94.00983,0.0,115.27742,115.3368,115.59125,115.22171,114.69063,115.08218,115.58503,114.92934,114.90531,0.0,0.0,83.88375,55.32735,81.702255,54.857845,85.0678,52.546177,85.41117,54.23285
[RA][test0483_config][QP16]_VCA_360,4.4668617,5.5872755,4.464996,5.5827284,4.4628577,5.5784044,4.4635115,5.570794,4.45586,5.554048,136.13104,94.62209,136.19354,94.31233,135.79277,94.43167,136.04282,94.42778,135.90816,94.00983,0.0,53.044415,53.251835,53.11579,52.58716,52.32567,52.212368,52.631275,52.70932,52.641014,0.0,0.0,1.8384428,1.1544293,1.3403472,1.31847,1.4652188,1.2806149,1.7500426,1.3398352
[RA][test0483_config][QP16]_SITI_360,146.19496,129.66884,146.68423,129.34148,145.81595,129.08961,145.67911,129.54375,145.15941,128.62686,0.0,71.31239,71.23499,71.329025,71.28123,71.45665,71.21031,71.4633,71.19708,71.30349,0.0,0.0,61.176098,49.57075,58.927723,49.20978,62.513924,49.551373,62.568233,51.19804
[RA][test0465_config][QP36]_EVCA_360,4.1367974,5.0645213,4.136048,5.067682,4.1375537,5.064741,4.1357822,5.062454,4.1341457,5.06092,94.177345,102.70978,94.31856,102.495605,94.07941,102.0954,94.16563,102.584274,94.27379,101.99777,0.0,103.85986,103.87308,103.864815,103.8381,103.5428,103.72388,104.07089,104.20013,103.79307,0.0,0.0,29.82466,35.600456,32.083183,35.381992,31.526033,36.35549,32.618095,38.0314
[RA][test0465_config][QP36]_VCA_360,4.1367974,5.0645213,4.136048,5.067682,4.1375537,5.064741,4.1357822,5.062454,4.1341457,5.06092,94.177345,102.70978,94.31856,102.495605,94.07941,102.0954,94.16563,102.584274,94.27379,101.99777,0.0,60.83706,60.97253,60.91689,60.90403,60.486904,60.50104,60.654633,60.831074,60.60216,0.0,0.0,0.51811826,0.92911005,0.5758228,0.91756904,0.68103,0.80765754,0.5843753,1.182294
[RA][test0465_config][QP36]_SITI_360,128.06664,135.66779,128.32759,135.69795,128.0169,135.5499,127.704025,135.9319,128.51242,135.14781,0.0,79.03522,79.02236,78.95005,78.92806,78.94551,79.0834,78.97778,79.06351,79.11149,0.0,0.0,20.288507,24.809233,21.681255,24.033699,21.633112,24.17164,22.290722,24.904842
[RA][test0469_config][QP32]_EVCA_360,4.7732606,5.452115,4.7729454,5.450918,4.77009,5.4527407,4.7695813,5.453562,4.7657537,5.4501605,135.74051,56.58829,135.69058,56.660778,135.75336,56.667904,135.70332,56.783005,135.82074,56.761005,0.0,114.43335,114.450714,114.393936,114.50093,114.54492,114.517975,114.49766,114.49117,114.42243,0.0,0.0,51.975986,8.363312,42.36304,7.3206086,40.493923,7.794904,44.64854,9.056889
[RA][test0469_config][QP32]_VCA_360,4.7732606,5.452115,4.7729454,5.450918,4.77009,5.4527407,4.7695813,5.453562,4.7657537,5.4501605,135.74051,56.58829,135.69058,56.660778,135.75336,56.667904,135.70332,56.783005,135.82074,56.761005,0.0,79.47132,79.43845,79.36582,79.42209,79.39534,79.345,79.21453,79.33162,79.34466,0.0,0.0,0.89315456,0.32804945,0.74509335,0.25598302,0.72092396,0.26830825,0.87416255,0.35723877
[RA][test0469_config][QP32]_SITI_360,155.27179,101.65468,155.8548,101.848915,155.56538,101.970314,155.98311,101.9386,155.74484,102.085945,0.0,83.81539,83.91267,83.92114,84.038536,84.010735,83.94812,83.95072,83.95845,83.96312,0.0,0.0,27.725395,7.261544,21.706411,6.70644,21.012745,6.747243,23.227398,7.4523277
[RA][test0409_config][QP48]_EVCA_360,5.1390986,4.1633554,5.144035,4.16009,5.134955,4.1558814,5.1371584,4.155673,5.1281905,4.150204,80.80881,50.65146,80.84595,50.101017,80.928246,50.443924,80.38146,49.962524,80.33799,49.433765,0.0,74.57295,74.487175,74.72992,74.61868,74.31784,74.058945,74.07065,73.87005,73.69665,0.0,0.0,30.652447,13.859382,33.700844,14.19398,32.169727,14.475084,31.996006,13.360388
[RA][test0409_config][QP48]_VCA_360,5.1390986,4.1633554,5.144035,4.16009,5.134955,4.1558814,5.1371584,4.155673,5.1281905,4.150204,80.80881,50.65146,80.84595,50.101017,80.928246,50.443924,80.38146,49.962524,80.33799,49.433765,0.0,42.340664,42.490025,42.356342,42.69841,42.21608,41.97658,41.806816,41.20256,41.68856,0.0,0.0,1.1395104,0.9544453,1.9681052,1.1666396,1.7809497,1.1925123,1.7967974,1.232815
[RA][test0409_config][QP48]_SITI_360,93.35244,75.27379,93.8869,75.16184,93.6407,75.217026,93.65346,75.36103,93.09783,74.51912,0.0,88.48821,88.475296,88.49504,88.605064,88.60375,88.694626,88.73801,88.95931,88.99092,0.0,0.0,24.237398,12.804127,26.13164,13.44228,24.149033,13.501246,24.42635,12.486166
[RA][test0479_config][QP26]_EVCA_360,4.9092693,5.684263,4.900798,5.6937695,4.9000072,5.6989284,4.9006114,5.699868,4.8999224,5.7056727,139.41876,111.88687,139.60071,111.99962,139.55962,112.18273,139.60512,112.60414,139.32343,112.19842,0.0,114.81176,114.67012,114.60669,114.39495,114.165215,114.25043,114.6264,114.45041,114.46754,0.0,0.0,68.90909,50.935413,62.444103,51.814144,63.391243,51.83841,73.53943,53.2868
[RA][test0479_config][QP26]_VCA_360,4.9092693,5.684263,4.900798,5.6937695,4.9000072,5.6989284,4.9006114,5.699868,4.8999224,5.7056727,139.41876,111.88687,139.60071,111.99962,139.55962,112.18273,139.60512,112.60414,139.32343,112.19842,0.0,34.904984,34.82009,34.540474,34.135326,33.899532,34.082523,34.442333,34.29757,34.884586,0.0,0.0,0.95493793,1.2072332,0.7606252,0.92785454,0.975208,1.3133675,1.0360587,1.1907117
[RA][test0479_config][QP26]_SITI_360,145.86552,142.35431,146.00539,142.38684,146.01013,142.80649,146.38556,142.9584,146.50073,142.14374,0.0,79.36172,79.40676,79.22899,79.15775,79.21165,79.16588,79.17659,79.327774,79.210785,0.0,0.0,36.918602,34.96702,32.325497,36.0058,32.747032,36.550434,40.307003,37.940506
