videoname,B_0,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,SC_0,SC_1,SC_2,SC_3,SC_4,SC_5,SC_6,SC_7,SC_8,SC_9,TC_0,TC_1,TC_2,TC_3,TC_4,TC_5,TC_6,TC_7,TC_8,TC_9,TC2_0,TC2_1,TC2_2,TC2_3,TC2_4,TC2_5,TC2_6,TC2_7,TC2_8,TC2_9
[RA][test0413_config][QP42]_EVCA_720,1.1986234,1.3454453,1.1996686,1.3468575,1.1998241,1.3468993,1.2006017,1.3457589,1.2007061,1.3448495,114.26092,78.769356,114.328384,79.27257,113.799576,78.49794,114.45027,79.81515,114.2386,78.80243,0.0,96.1966,96.158585,96.13687,95.97847,95.85682,96.18879,96.03734,95.98212,96.02199,0.0,0.0,64.5263,41.107456,61.929462,40.5965,62.085697,40.732906,63.88533,41.74659
[RA][test0413_config][QP42]_VCA_720,1.1986234,1.3454453,1.1996686,1.3468575,1.1998241,1.3468993,1.2006017,1.3457589,1.2007061,1.3448495,114.26092,78.769356,114.328384,79.27257,113.799576,78.49794,114.45027,79.81515,114.2386,78.80243,0.0,49.810703,49.81832,49.575764,49.49173,49.541176,49.730232,48.92992,48.83529,49.257324,0.0,0.0,1.0753577,1.4669793,1.2480593,1.8309593,1.4044319,2.0646005,1.1855884,1.9283724
[RA][test0413_config][QP42]_SITI_720,127.51228,108.23749,127.61341,108.47878,127.184166,107.371414,127.57252,108.93668,127.5713,107.50321,0.0,67.84453,67.8191,67.779,67.910095,68.00155,67.99029,67.95031,68.00307,67.96748,0.0,0.0,36.319427,33.36964,34.335346,32.602974,34.333897,32.398785,35.585842,33.273838
[RA][test0496_config][QP10]_EVCA_720,0.9734044,1.10291,0.9735074,1.101022,0.9732559,1.1021967,0.9731347,1.1021339,0.97370607,1.1028206,93.49901,89.795845,93.33783,89.68493,93.40349,89.590645,93.56659,89.87169,93.445114,89.98727,0.0,90.16719,90.11648,89.98032,89.99139,89.86844,89.827995,90.01841,89.969765,89.98243,0.0,0.0,25.95557,23.25395,11.114531,11.402168,11.41519,14.459436,13.7831135,18.857483
[RA][test0496_config][QP10]_VCA_720,0.9734044,1.10291,0.9735074,1.101022,0.9732559,1.1021967,0.9731347,1.1021339,0.97370607,1.1028206,93.49901,89.795845,93.33783,89.68493,93.40349,89.590645,93.56659,89.87169,93.445114,89.98727,0.0,35.76752,35.872154,35.64809,35.656,35.50111,35.412018,35.54557,35.595222,35.519768,0.0,0.0,0.97940934,1.1358184,0.43790025,0.5882898,0.61350584,0.8394557,0.53922623,1.3213493
[RA][test0496_config][QP10]_SITI_720,110.02578,129.34712,109.738525,128.74858,109.69119,128.38377,109.83967,128.88109,109.74251,128.98239,0.0,80.85759,80.85724,80.867966,80.86231,80.846756,80.855865,80.842064,80.84919,80.871704,0.0,0.0,13.66869,14.985361,7.1562753,7.807051,6.957783,12.021253,8.256755,13.462866
[RA][test0307_config][QP14]_EVCA_720,1.1480061,1.1953818,1.148615,1.1961198,1.1469227,1.1979839,1.1474079,1.1973553,1.1449019,1.199606,107.0059,110.139694,107.61945,109.986755,107.44915,109.75836,107.605835,109.9019,107.569176,109.80742,0.0,97.89895,98.27747,98.35458,98.20538,98.455345,98.52537,98.65045,98.58547,98.74306,0.0,0.0,67.86279,63.84475,66.90728,64.792366,65.323,64.11276,63.188637,63.117294
[RA][test0307_config][QP14]_VCA_720,1.1480061,1.1953818,1.148615,1.1961198,1.1469227,1.1979839,1.1474079,1.1973553,1.1449019,1.199606,107.0059,110.139694,107.61945,109.986755,107.44915,109.75836,107.605835,109.9019,107.569176,109.80742,0.0,25.39086,25.31695,25.493542,25.551023,26.166775,26.278933,26.516352,26.327103,26.482351,0.0,0.0,2.2320623,2.5016909,1.8459998,2.7807758,1.9410677,2.8246565,1.916809,2.5384724
[RA][test0307_config][QP14]_SITI_720,129.10416,158.38167,129.94928,158.40945,129.64987,158.34065,129.73073,158.45886,129.71205,158.01456,0.0,76.351685,76.5133,76.5337,76.40985,76.424065,76.44403,76.57764,76.59803,76.55981,0.0,0.0,41.10025,42.478416,40.224663,44.060932,38.572964,43.242485,36.511864,42.774803
[RA][test0366_config][QP36]_EVCA_720,1.1581228,1.2196852,1.159595,1.2200377,1.1599302,1.2207792,1.1589812,1.2197615,1.1582139,1.2208364,144.2345,90.85111,144.36368,90.83256,144.41719,90.83189,144.38126,91.144875,144.19096,90.90095,0.0,116.56608,116.679146,116.67519,116.66639,116.61842,116.618454,116.64924,116.56327,116.60712,0.0,0.0,68.46729,28.23838,65.140884,27.534048,65.424545,28.81188,71.85327,32.18768
